Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"76908-1","Speed Champions","Lamborghini",2022,"Lamborghini Countach",1,262,19.99,19.99,29.99,24.99,5702017156729,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,18.9800,16.5500,"01/03/2022","31/12/2024"
"71741-1","Ninjago","General",2021,"NINJAGO City Gardens",22,5685,299.99,349.99,449.99,349.99,5702016912692,,48,58.2,17,,"",0,0,0,,0,0,,,,,,,,,263.8700,223.2100,"01/02/2021","31/12/2024"
"75325-1","Star Wars","The Book of Boba Fett",2022,"The Mandalorian's N-1 Starfighter",4,412,59.99,59.99,79.99,64.99,5702017155517,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,50.1100,35.0000,"01/06/2022","31/12/2024"
"75322-1","Star Wars","Episode V",2022,"Hoth AT-ST",4,586,44.99,49.99,64.99,49.99,5702017155487,,19.1,35.4,7,,"",0,0,0,,0,0,,,,,,,,,40.3400,32.5800,"01/01/2022","31/12/2023"
"75330-1","Star Wars","Diorama Collection",2022,"Dagobah Jedi Training Diorama",3,1000,79.99,89.99,119.99,89.99,5702017155562,,38.2,26.2,9.4,,"",0,0,0,,0,0,,,,,,,,,66.6500,61.0000,"26/04/2022","31/12/2023"
"10300-1","Icons","Vehicles",2022,"Back to the Future Time Machine",2,1872,169.99,199.99,249.99,199.99,5702017153186,,48,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,176.5300,149.8500,"01/04/2022","31/12/2025"
"10497-1","Icons","Space System",2022,"Galaxy Explorer",5,1254,89.99,99.99,129.99,99.99,5702017189208,,53.8,28,8.7,1.756,"",0,0,0,,0,0,,,,,,,,,90.9100,83.9600,"01/08/2022","31/12/2023"
"10295-1","Icons","Vehicles",2021,"Porsche 911",,1458,149.99,169.99,209.99,169.99,5702016914351,673419340342,48,28.2,11.8,,"",0,0,0,,0,0,,,,,,,,,125.2900,108.3100,"01/03/2021","31/12/2024"
"75333-1","Star Wars","Episode II",2022,"Obi-Wan Kenobi's Jedi Starfighter",3,282,29.99,29.99,39.99,34.99,5702017155593,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,27.2100,19.9500,"01/08/2022","31/12/2023"
"21330-1","Ideas","Licensed",2021,"Home Alone",5,3955,259.99,299.99,379.99,299.99,5702017006178,,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,261.4600,197.8000,"01/11/2021","31/12/2024"
"40516-1","Icons","Miscellaneous",2021,"Everyone is Awesome",11,346,30.99,34.99,44.99,34.99,5702017106991,673419351751,35.2,18.9,6.8,0.566,"",0,0,0,,0,0,,,,,,,,,35.0100,26.1100,"01/06/2021","31/12/2023"
"31088-1","Creator","3 in 1",2019,"Deep Sea Creatures",,230,12.99,14.99,19.99,14.99,5702016367836,673419302098,26.2,14.1,4.8,0.31,"",0,0,0,,0,0,,,,,,,,,13.1900,8.8900,"",""
"76389-1","Harry Potter","Chamber of Secrets",2021,"Hogwarts Chamber of Secrets",11,1176,129.99,149.99,199.99,149.99,5702016913583,673419340113,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,115.7800,85.9000,"01/06/2021","31/12/2024"
"10305-1","Icons","Castle System",2022,"Lion Knights' Castle",22,4514,344.99,399.99,499.99,399.99,5702017153261,,52.3,48,21.8,,"",0,0,0,,0,0,,,,,,,,,385.3100,349.4300,"03/08/2022","31/12/2025"
"21044-1","Architecture","Skylines",2019,"Paris",,649,44.99,49.99,69.99,49.99,5702016368314,,26.2,19.1,7.2,,"",0,0,0,,0,0,,,,,,,,,42.5000,26.7100,"01/01/2019","31/12/2024"
"42115-1","Technic","Licensed",2020,"Lamborghini Sián FKP 37",,3696,389.99,449.99,559.99,449.99,5702016617535,673419318679,57,37.5,15,7.18,"",0,0,0,,0,0,,,,,,,,,301.4300,243.9100,"01/06/2020","31/12/2024"
"31120-1","Creator","3 in 1",2021,"Medieval Castle",4,1426,89.99,99.99,139.99,99.99,5702016914528,673419341172,47.6,37.4,9,2.283,"",0,0,0,,0,0,,,,,,,,,96.1500,68.7500,"01/08/2021","31/12/2024"
"75313-1","Star Wars","Ultimate Collector Series",2021,"AT-AT",9,6785,734.99,849.99,1049.99,849.99,5702016913866,,49.9,49.9,37.9,,"",0,0,0,,0,0,,,,,,,,,738.2600,557.3300,"26/11/2021","31/12/2023"
"42096-1","Technic","Licensed",2019,"Porsche 911 RSR",,1580,169.99,179.99,249.99,199.99,5702016369878,673419303446,48,37.8,9.4,2.25,"",0,0,0,,0,0,,,,,,,,,117.3500,98.3800,"01/01/2019","31/12/2023"
"76900-1","Speed Champions","Koenigsegg",2021,"Koenigsegg Jesko",1,280,19.99,19.99,29.99,24.99,5702016912371,673419338882,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,16.8800,15.8400,"01/06/2021","31/12/2023"
"40557-1","Star Wars","Episode V",2022,"Defense of Hoth",3,64,13.49,14.99,18.99,14.99,,673419364867,25,15,3.2,,"",0,0,0,,0,0,,,,,,,,,20.0500,12.9000,"01/01/2022","31/12/2022"
"76191-1","Marvel Super Heroes","Miscellaneous",2021,"Infinity Gauntlet",,590,79.99,79.99,99.99,89.99,5702016913194,673419339872,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,61.1100,43.0600,"01/06/2021","31/12/2023"
"10311-1","Icons","Botanical Collection",2022,"Orchid",,608,44.99,49.99,69.99,49.99,5702017224336,,38,26,6.8,0.756,"",0,0,0,,0,0,,,,,,,,,46.0600,30.0000,"01/05/2022","31/12/2025"
"71360-1","Super Mario","Starter Course",2020,"Adventures with Mario",3,231,54.99,59.99,74.99,59.99,5702016618396,,31.7,26.2,9,,"",0,0,0,,0,0,,,,,,,,,33.2200,23.8900,"10/07/2020","31/07/2026"
"75309-1","Star Wars","Ultimate Collector Series",2021,"Republic Gunship",2,3292,344.99,399.99,499.99,399.99,5702016914573,673419340144,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,292.5400,276.9100,"01/08/2021","31/12/2023"
"75342-1","Star Wars","The Clone Wars",2022,"Republic Fighter Tank",6,262,39.99,39.99,49.99,44.99,5702017189659,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,49.6700,29.9900,"26/04/2022","31/12/2023"
"75326-1","Star Wars","The Book of Boba Fett",2022,"Boba Fett's Throne Room",7,732,89.99,99.99,129.99,99.99,5702017155524,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,78.4900,48.4100,"01/03/2022","31/12/2023"
"76901-1","Speed Champions","Toyota",2021,"Toyota GR Supra",1,299,19.99,19.99,29.99,24.99,5702016912470,673419338899,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,18.9500,9.6900,"01/06/2021","31/12/2023"
"75328-1","Star Wars","Helmet Collection",2022,"The Mandalorian Helmet",,584,59.99,69.99,89.99,69.99,5702017155548,,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,48.3400,37.6000,"01/03/2022","31/12/2024"
"75337-1","Star Wars","Episode III",2022,"AT-TE Walker",9,1082,119.99,139.99,179.99,139.99,5702017155630,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,125.3600,87.6000,"01/08/2022","31/07/2024"
"76218-1","Marvel Super Heroes","Doctor Strange in the Multiverse of Madness",2022,"Sanctum Sanctorum",9,2708,214.99,249.99,309.99,249.99,5702017154619,,48,58.2,12.4,,"",0,0,0,,0,0,,,,,,,,,192.0400,179.0900,"01/08/2022","31/12/2024"
"75329-1","Star Wars","Diorama Collection",2022,"Death Star Trench Run Diorama",,665,59.99,69.99,89.99,69.99,5702017155555,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,48.2600,40.7700,"26/04/2022","31/12/2023"
"75327-1","Star Wars","Helmet Collection",2022,"Luke Skywalker (Red Five) Helmet",,675,59.99,69.99,89.99,69.99,5702017155531,,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,46.6900,48.0000,"01/03/2022","31/12/2023"
"76906-1","Speed Champions","Ferrari",2022,"1970 Ferrari 512 M",1,291,19.99,19.99,29.99,24.99,5702017119045,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,17.4000,15.1300,"01/03/2022","31/12/2023"
"76193-1","Marvel Super Heroes","Avengers: Endgame",2021,"The Guardians' Ship",6,1901,139.99,159.99,199.99,159.99,5702016913217,673419339896,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,125.8800,95.5600,"01/06/2021","31/12/2023"
"10292-1","Icons","Licensed",2021,"The Friends Apartments",7,2048,159.99,179.99,229.99,179.99,5702016914306,673419340311,58,37.6,9.9,2.737,"",0,0,0,,0,0,,,,,,,,,133.1700,112.9100,"01/06/2021","31/12/2024"
"75336-1","Star Wars","Obi-Wan Kenobi",2022,"Inquisitor Transport Scythe",4,924,89.99,99.99,129.99,99.99,5702017155623,,48,28.2,7.4,,"",0,0,0,,0,0,,,,,,,,,81.5400,59.7600,"01/08/2022","31/12/2023"
"75339-1","Star Wars","Diorama Collection",2022,"Death Star Trash Compactor Diorama",6,802,79.99,89.99,119.99,89.99,5702017189642,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,77.7000,67.5000,"26/04/2022","31/07/2024"
"40460-1","Creator","Botanical",2021,"Roses",,120,11.99,12.99,16.99,12.99,5702017228402,673419337977,18.8,14,4.5,0.144,"",0,0,0,,0,0,,,,,,,,,16.9100,9.5300,"01/01/2021","31/07/2022"
"10309-1","Icons","Botanical Collection",2022,"Succulents",,771,44.99,49.99,69.99,49.99,5702017189185,,38,26,5.3,0.683,"",0,0,0,,0,0,,,,,,,,,49.2300,30.0000,"01/05/2022","31/12/2025"
"60283-1","City","Great Vehicles",2021,"Holiday Camper Van",3,190,17.99,19.99,24.99,19.99,5702016889772,,26.2,19.1,6.1,0.372,"",0,0,0,,0,0,,,,,,,,,15.7700,11.5500,"01/01/2021","31/12/2024"
"60287-1","City","Great Vehicles",2021,"Tractor",2,148,17.99,19.99,24.99,19.99,5702016889727,,26.2,19.1,6.1,0.342,"",0,0,0,,0,0,,,,,,,,,15.6200,15.2800,"01/01/2021","31/12/2023"
"76391-1","Harry Potter","General",2021,"Hogwarts Icons - Collectors' Edition",3,3010,259.99,299.99,379.99,299.99,5702016913415,,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,231.7900,200.5000,"02/09/2021","31/12/2024"
"10302-1","Icons","Licensed",2022,"Optimus Prime",,1508,159.99,179.99,239.99,179.99,5702017153209,,28.2,48,9.1,1.702,"",0,0,0,,0,0,,,,,,,,,139.7900,124.5900,"01/06/2022","31/12/2025"
"76912-1","Speed Champions","Dodge",2022,"Fast & Furious 1970 Dodge Charger R/T",1,345,19.99,19.99,29.99,24.99,5702017234410,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,19.5400,13.9200,"01/08/2022","31/12/2023"
"42107-1","Technic","Licensed",2020,"Ducati Panigale V4 R",,646,59.99,79.99,99.99,69.99,5702016616460,673419318600,38.2,26.2,7.1,0.91,"",0,0,0,,0,0,,,,,,,,,51.4700,33.7600,"01/06/2020","31/12/2023"
"76907-1","Speed Champions","Lotus",2022,"Lotus Evija",1,247,19.99,19.99,29.99,24.99,5702017156712,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,17.5600,12.5700,"01/03/2022","31/12/2023"
"40367-1","BrickHeadz","Miscellaneous",2019,"Lady Liberty",,153,9.99,9.99,12.99,9.99,5702016538946,,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,13.7500,5.3700,"01/06/2019","31/12/2022"
"21333-1","Ideas","Licensed",2022,"Vincent van Gogh - The Starry Night",1,2316,149.99,169.99,219.99,169.99,5702017189840,,48,37.8,11.2,2.85,"",0,0,0,,0,0,,,,,,,,,159.3400,143.9100,"25/05/2022","31/12/2024"
"10290-1","Icons","Vehicles",2021,"Pickup Truck",,1677,114.99,129.99,169.99,129.99,5702016972030,,48,28.2,11.8,1.978,"",0,0,0,,0,0,,,,,,,,,120.9400,109.0300,"01/10/2021","31/12/2024"
"75341-1","Star Wars","Ultimate Collector Series",2022,"Luke Skywalker's Landspeeder",2,1890,209.99,239.99,299.99,239.99,5702017155647,,58.2,37.8,8.7,,"",0,0,0,,0,0,,,,,,,,,179.4300,145.5600,"04/05/2022","31/12/2024"
"21327-1","Ideas","",2021,"Typewriter",,2079,214.99,249.99,309.99,249.99,5702016995831,673419345347,58.2,37.8,10.3,,"",0,0,0,,0,0,,,,,,,,,196.1600,139.5600,"01/07/2021","31/12/2024"
"42111-1","Technic","Licensed",2020,"Dom's Dodge Charger",,1077,104.99,119.99,149.99,119.99,5702016617498,673419318631,35.4,37.8,11.8,1.65,"",0,0,0,,0,0,,,,,,,,,83.3700,65.2600,"27/04/2020","31/12/2023"
"10289-1","Icons","Botanical Collection",2021,"Bird of Paradise",,1173,89.99,99.99,139.99,99.99,5702016973563,,28.2,48,9.1,1.363,"",0,0,0,,0,0,,,,,,,,,91.8900,75.1000,"01/06/2021","31/12/2024"
"10308-1","Icons","Winter Village Collection",2022,"Holiday Main Street",6,1514,89.99,99.99,129.99,99.99,5702017153285,,47.8,28,8.8,1.738,"",0,0,0,,0,0,,,,,,,,,110.3900,,"03/10/2022","31/12/2025"
"21323-1","Ideas","",2020,"Grand Piano",,3662,344.99,399.99,499.99,399.99,5702016756401,673419328548,58.2,37.8,16,6.09,"",0,0,0,,0,0,,,,,,,,,355.2000,291.1300,"01/08/2020","31/12/2024"
"76909-1","Speed Champions","Mercedes",2022,"Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One",2,564,39.99,34.99,44.99,44.99,5702017160825,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,39.6900,24.9300,"01/03/2022","31/12/2024"
"40377-1","BrickHeadz","Disney",2020,"Donald Duck",,90,9.99,9.99,12.99,9.99,5702016656701,,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,11.8500,10.2200,"01/02/2020","31/12/2023"
"40469-1","Creator","Miscellaneous",2021,"Tuk Tuk",,155,8.99,9.99,12.99,9.99,5702016941203,,15.6,14,6,0.162,"",0,0,0,,0,0,,,,,,,,,13.2800,10.9400,"01/01/2021","31/12/2023"
"40478-1","Disney","Disney Parks",2021,"Mini Disney Castle",1,567,34.99,39.99,54.99,39.99,5702016995916,,19.1,26.2,9.1,0.553,"",0,0,0,,0,0,,,,,,,,,44.3400,30.0000,"01/10/2021","31/12/2024"
"40378-1","BrickHeadz","Disney",2020,"Goofy & Pluto",,214,13.49,14.99,19.99,14.99,5702016656718,,14.1,12.2,6.1,,"",0,0,0,,0,0,,,,,,,,,16.9600,9.0300,"01/02/2020","31/12/2023"
"40539-1","BrickHeadz","Star Wars",2022,"Ahsoka Tano",,164,9.99,9.99,12.99,9.99,5702017166902,,9.1,12.2,7.8,,"",0,0,0,,0,0,,,,,,,,,14.4600,11.4500,"01/01/2022","31/12/2023"
"76956-1","Jurassic World","Jurassic Park",2022,"T. rex Breakout",4,1212,89.99,99.99,129.99,99.99,5702017190006,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,86.0800,72.9900,"17/04/2022","31/12/2023"
"60205-1","City","Trains",2018,"Tracks",,20,17.99,19.99,24.99,19.99,5702016199055,673419294089,26,19,6,0.317,"",0,0,0,,0,0,,,,,,,,,16.2500,12.7600,"",""
"10294-1","Icons","Miscellaneous",2021,"Titanic",,9090,589.99,679.99,849.99,679.99,5702016914320,,58.5,47.5,38.5,,"",0,0,0,,0,0,,,,,,,,,703.3500,659.5100,"08/11/2021","31/12/2024"
